,NAME,index_right,RTE,DIR,KEYITEM,RTE_DESC,DIR_DESC,ROUTE,TYPE
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
18,VERNON,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
204,WOODLAWN,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
206,IRVINGTON COMMUNITY ASSOCIATION,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
207,SABIN COMMUNITY ASSN./IRVINGTON COMMUNITY ASSN.,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
223,SULLIVAN'S GULCH,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
230,KERNS,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
235,PORTLAND DOWNTOWN,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
261,SABIN COMMUNITY ASSOCIATION,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
276,OLD TOWN/ CHINATOWN,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
280,SOUTHWEST HILLS RESIDENTIAL LEAGUE,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
301,SOUTH PORTLAND,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
302,HOMESTEAD,10,008,1,0081,Jackson Park/NE 15th,To Dekum & M L King Jr Blvd,8,BUS
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
7,SYLVAN-HIGHLANDS/SOUTHWEST HILLS RESIDENTIAL LEAGUE,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
37,WEST SLOPE,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
50,CENTRAL BEAVERTON,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
68,SULLIVAN'S GULCH / GRANT PARK,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
98,MAYWOOD PARK,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
101,SUMNER ASSOCIATION OF NEIGHBORS,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
120,MADISON SOUTH,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
164,CPO 1 CEDAR HILLS-CEDAR MILL N,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
176,PORTLAND PDX AIRPORT AREA,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
182,PARKROSE,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
195,ARLINGTON HEIGHTS,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
196,ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
209,ROSE CITY PARK,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
220,HOLLYWOOD,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
223,SULLIVAN'S GULCH,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
225,MONTAVILLA,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
226,LAURELHURST,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
230,KERNS,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
235,PORTLAND DOWNTOWN,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
237,GOOSE HOLLOW/SOUTHWEST HILLS,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
275,HAZELWOOD,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
276,OLD TOWN/ CHINATOWN,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
296,SYLVAN-HIGHLANDS,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
297,GOOSE HOLLOW,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
408,CPO 1 CEDAR HILLS-CEDAR MILL S,159,090,1,0901,MAX Red Line,To Beaverton Transit Center,MAX,MAX
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,158,090,0,0900,MAX Red Line,To Portland International Airport,MAX,MAX
